6add2(9)	P1,M2,M3,P5,M6,M9
6add2(+11,-13)	P1,M2,M3,P5,M6,a11,m13
6add2(+11,--13)	P1,M2,M3,P5,M6,a11,d13
6add2(-11,13)	P1,M2,M3,P5,M6,m11,M13
6add2(-11,+13)	P1,M2,M3,P5,M6,m11,a13
6add2(-11,-13)	P1,M2,M3,P5,M6,m11,m13
6add2(-11,--13)	P1,M2,M3,P5,M6,m11,d13
6add2(--11,13)	P1,M2,M3,P5,M6,d11,M13
6add2(--11,+13)	P1,M2,M3,P5,M6,d11,a13
6add2(--11,-13)	P1,M2,M3,P5,M6,d11,m13
6add2(--11,--13)	P1,M2,M3,P5,M6,d11,d13
6add2(9,11,13)	P1,M2,M3,P5,M6,M9,M11,M13
6add2(9,11,+13)	P1,M2,M3,P5,M6,M9,M11,a13
6add2(9,11,-13)	P1,M2,M3,P5,M6,M9,M11,m13
6add2(9,11,--13)	P1,M2,M3,P5,M6,M9,M11,d13
6add2(9,+11,13)	P1,M2,M3,P5,M6,M9,a11,M13
6add2(9,+11,+13)	P1,M2,M3,P5,M6,M9,a11,a13
6add2(9,+11,-13)	P1,M2,M3,P5,M6,M9,a11,m13
6add2(9,+11,--13)	P1,M2,M3,P5,M6,M9,a11,d13
6add2(9,-11,13)	P1,M2,M3,P5,M6,M9,m11,M13
6add2(9,-11,+13)	P1,M2,M3,P5,M6,M9,m11,a13
6add2(9,-11,-13)	P1,M2,M3,P5,M6,M9,m11,m13
6add2(9,-11,--13)	P1,M2,M3,P5,M6,M9,m11,d13
6add2(9,--11,13)	P1,M2,M3,P5,M6,M9,d11,M13
6add2(9,--11,+13)	P1,M2,M3,P5,M6,M9,d11,a13
6add2(9,--11,-13)	P1,M2,M3,P5,M6,M9,d11,m13
6add2(9,--11,--13)	P1,M2,M3,P5,M6,M9,d11,d13
6add2(+9,11,13)	P1,M2,M3,P5,M6,a9,M11,M13
6add2(+9,11,+13)	P1,M2,M3,P5,M6,a9,M11,a13
6add2(+9,11,-13)	P1,M2,M3,P5,M6,a9,M11,m13
6add2(+9,11,--13)	P1,M2,M3,P5,M6,a9,M11,d13
6add2(+9,+11,13)	P1,M2,M3,P5,M6,a9,a11,M13
6add2(+9,+11,+13)	P1,M2,M3,P5,M6,a9,a11,a13
6add2(+9,+11,-13)	P1,M2,M3,P5,M6,a9,a11,m13
6add2(+9,+11,--13)	P1,M2,M3,P5,M6,a9,a11,d13
6add2(+9,-11,13)	P1,M2,M3,P5,M6,a9,m11,M13
6add2(+9,-11,+13)	P1,M2,M3,P5,M6,a9,m11,a13
6add2(+9,-11,-13)	P1,M2,M3,P5,M6,a9,m11,m13
6add2(+9,-11,--13)	P1,M2,M3,P5,M6,a9,m11,d13
6add2(+9,--11,13)	P1,M2,M3,P5,M6,a9,d11,M13
6add2(+9,--11,+13)	P1,M2,M3,P5,M6,a9,d11,a13
6add2(+9,--11,-13)	P1,M2,M3,P5,M6,a9,d11,m13
6add2(+9,--11,--13)	P1,M2,M3,P5,M6,a9,d11,d13
6add2(-9,11,13)	P1,M2,M3,P5,M6,m9,M11,M13
6add2(-9,11,+13)	P1,M2,M3,P5,M6,m9,M11,a13
6add2(-9,11,-13)	P1,M2,M3,P5,M6,m9,M11,m13
6add2(-9,11,--13)	P1,M2,M3,P5,M6,m9,M11,d13
6add2(-9,+11,13)	P1,M2,M3,P5,M6,m9,a11,M13
6add2(-9,+11,+13)	P1,M2,M3,P5,M6,m9,a11,a13
6add2(-9,+11,-13)	P1,M2,M3,P5,M6,m9,a11,m13
6add2(-9,+11,--13)	P1,M2,M3,P5,M6,m9,a11,d13
6add2(-9,-11,13)	P1,M2,M3,P5,M6,m9,m11,M13
6add2(-9,-11,+13)	P1,M2,M3,P5,M6,m9,m11,a13
6add2(-9,-11,-13)	P1,M2,M3,P5,M6,m9,m11,m13
6add2(-9,-11,--13)	P1,M2,M3,P5,M6,m9,m11,d13
6add2(-9,--11,13)	P1,M2,M3,P5,M6,m9,d11,M13
6add2(-9,--11,+13)	P1,M2,M3,P5,M6,m9,d11,a13
6add2(-9,--11,-13)	P1,M2,M3,P5,M6,m9,d11,m13
6add2(-9,--11,--13)	P1,M2,M3,P5,M6,m9,d11,d13
6add2(--9,11,13)	P1,M2,M3,P5,M6,d9,M11,M13
6add2(--9,11,+13)	P1,M2,M3,P5,M6,d9,M11,a13
6add2(--9,11,-13)	P1,M2,M3,P5,M6,d9,M11,m13
6add2(--9,11,--13)	P1,M2,M3,P5,M6,d9,M11,d13
6add2(--9,+11,13)	P1,M2,M3,P5,M6,d9,a11,M13
6add2(--9,+11,+13)	P1,M2,M3,P5,M6,d9,a11,a13
6add2(--9,+11,-13)	P1,M2,M3,P5,M6,d9,a11,m13
6add2(--9,+11,--13)	P1,M2,M3,P5,M6,d9,a11,d13
6add2(--9,-11,13)	P1,M2,M3,P5,M6,d9,m11,M13
6add2(--9,-11,+13)	P1,M2,M3,P5,M6,d9,m11,a13
6add2(--9,-11,-13)	P1,M2,M3,P5,M6,d9,m11,m13
6add2(--9,-11,--13)	P1,M2,M3,P5,M6,d9,m11,d13
6add2(--9,--11,13)	P1,M2,M3,P5,M6,d9,d11,M13
6add2(--9,--11,+13)	P1,M2,M3,P5,M6,d9,d11,a13
6add2(--9,--11,-13)	P1,M2,M3,P5,M6,d9,d11,m13
6add2(--9,--11,--13)	P1,M2,M3,P5,M6,d9,d11,d13
6add4(9)	P1,M3,M4,P5,M6,M9
6add4(+9)	P1,M3,M4,P5,M6,a9
6add4(-9)	P1,M3,M4,P5,M6,m9
6add4(--9)	P1,M3,M4,P5,M6,d9
6add4(11)	P1,M3,M4,P5,M6,M11
6add4(+11)	P1,M3,M4,P5,M6,a11
6add4(-11)	P1,M3,M4,P5,M6,m11
6add4(--11)	P1,M3,M4,P5,M6,d11
6add4(13)	P1,M3,M4,P5,M6,M13
6add4(+13)	P1,M3,M4,P5,M6,a13
6add4(-13)	P1,M3,M4,P5,M6,m13
6add4(--13)	P1,M3,M4,P5,M6,d13
6add4(9,11)	P1,M3,M4,P5,M6,M9,M11
6add4(9,+11)	P1,M3,M4,P5,M6,M9,a11
6add4(9,-11)	P1,M3,M4,P5,M6,M9,m11
6add4(9,--11)	P1,M3,M4,P5,M6,M9,d11
6add4(9,13)	P1,M3,M4,P5,M6,M9,M13
6add4(9,+13)	P1,M3,M4,P5,M6,M9,a13
6add4(9,-13)	P1,M3,M4,P5,M6,M9,m13
6add4(9,--13)	P1,M3,M4,P5,M6,M9,d13
6add4(+9,11)	P1,M3,M4,P5,M6,a9,M11
6add4(+9,+11)	P1,M3,M4,P5,M6,a9,a11
6add4(+9,-11)	P1,M3,M4,P5,M6,a9,m11
6add4(+9,--11)	P1,M3,M4,P5,M6,a9,d11
6add4(+9,13)	P1,M3,M4,P5,M6,a9,M13
6add4(+9,+13)	P1,M3,M4,P5,M6,a9,a13
6add4(+9,-13)	P1,M3,M4,P5,M6,a9,m13
6add4(+9,--13)	P1,M3,M4,P5,M6,a9,d13
6add4(-9,11)	P1,M3,M4,P5,M6,m9,M11
6add4(-9,+11)	P1,M3,M4,P5,M6,m9,a11
6add4(-9,-11)	P1,M3,M4,P5,M6,m9,m11
6add4(-9,--11)	P1,M3,M4,P5,M6,m9,d11
6add4(-9,13)	P1,M3,M4,P5,M6,m9,M13
6add4(-9,+13)	P1,M3,M4,P5,M6,m9,a13
6add4(-9,-13)	P1,M3,M4,P5,M6,m9,m13
6add4(-9,--13)	P1,M3,M4,P5,M6,m9,d13
6add4(--9,11)	P1,M3,M4,P5,M6,d9,M11
6add4(--9,+11)	P1,M3,M4,P5,M6,d9,a11
6add4(--9,-11)	P1,M3,M4,P5,M6,d9,m11
6add4(--9,--11)	P1,M3,M4,P5,M6,d9,d11
6add4(--9,13)	P1,M3,M4,P5,M6,d9,M13
6add4(--9,+13)	P1,M3,M4,P5,M6,d9,a13
6add4(--9,-13)	P1,M3,M4,P5,M6,d9,m13
6add4(--9,--13)	P1,M3,M4,P5,M6,d9,d13
6add4(11,13)	P1,M3,M4,P5,M6,M11,M13
6add4(11,+13)	P1,M3,M4,P5,M6,M11,a13
6add4(11,-13)	P1,M3,M4,P5,M6,M11,m13
6add4(11,--13)	P1,M3,M4,P5,M6,M11,d13
6add4(+11,13)	P1,M3,M4,P5,M6,a11,M13
6add4(+11,+13)	P1,M3,M4,P5,M6,a11,a13
6add4(+11,-13)	P1,M3,M4,P5,M6,a11,m13
6add4(+11,--13)	P1,M3,M4,P5,M6,a11,d13
6add4(-11,13)	P1,M3,M4,P5,M6,m11,M13
6add4(-11,+13)	P1,M3,M4,P5,M6,m11,a13
6add4(-11,-13)	P1,M3,M4,P5,M6,m11,m13
6add4(-11,--13)	P1,M3,M4,P5,M6,m11,d13
6add4(--11,13)	P1,M3,M4,P5,M6,d11,M13
6add4(--11,+13)	P1,M3,M4,P5,M6,d11,a13
6add4(--11,-13)	P1,M3,M4,P5,M6,d11,m13
6add4(--11,--13)	P1,M3,M4,P5,M6,d11,d13
6add4(9,11,13)	P1,M3,M4,P5,M6,M9,M11,M13
6add4(9,11,+13)	P1,M3,M4,P5,M6,M9,M11,a13
6add4(9,11,-13)	P1,M3,M4,P5,M6,M9,M11,m13
6add4(9,11,--13)	P1,M3,M4,P5,M6,M9,M11,d13
6add4(9,+11,13)	P1,M3,M4,P5,M6,M9,a11,M13
6add4(9,+11,+13)	P1,M3,M4,P5,M6,M9,a11,a13
6add4(9,+11,-13)	P1,M3,M4,P5,M6,M9,a11,m13
6add4(9,+11,--13)	P1,M3,M4,P5,M6,M9,a11,d13
6add4(9,-11,13)	P1,M3,M4,P5,M6,M9,m11,M13
6add4(9,-11,+13)	P1,M3,M4,P5,M6,M9,m11,a13
6add4(9,-11,-13)	P1,M3,M4,P5,M6,M9,m11,m13
6add4(9,-11,--13)	P1,M3,M4,P5,M6,M9,m11,d13
6add4(9,--11,13)	P1,M3,M4,P5,M6,M9,d11,M13
6add4(9,--11,+13)	P1,M3,M4,P5,M6,M9,d11,a13
6add4(9,--11,-13)	P1,M3,M4,P5,M6,M9,d11,m13
6add4(9,--11,--13)	P1,M3,M4,P5,M6,M9,d11,d13
6add4(+9,11,13)	P1,M3,M4,P5,M6,a9,M11,M13
6add4(+9,11,+13)	P1,M3,M4,P5,M6,a9,M11,a13
6add4(+9,11,-13)	P1,M3,M4,P5,M6,a9,M11,m13
6add4(+9,11,--13)	P1,M3,M4,P5,M6,a9,M11,d13
6add4(+9,+11,13)	P1,M3,M4,P5,M6,a9,a11,M13
6add4(+9,+11,+13)	P1,M3,M4,P5,M6,a9,a11,a13
6add4(+9,+11,-13)	P1,M3,M4,P5,M6,a9,a11,m13
6add4(+9,+11,--13)	P1,M3,M4,P5,M6,a9,a11,d13
6add4(+9,-11,13)	P1,M3,M4,P5,M6,a9,m11,M13
6add4(+9,-11,+13)	P1,M3,M4,P5,M6,a9,m11,a13
6add4(+9,-11,-13)	P1,M3,M4,P5,M6,a9,m11,m13
6add4(+9,-11,--13)	P1,M3,M4,P5,M6,a9,m11,d13
6add4(+9,--11,13)	P1,M3,M4,P5,M6,a9,d11,M13
6add4(+9,--11,+13)	P1,M3,M4,P5,M6,a9,d11,a13
6add4(+9,--11,-13)	P1,M3,M4,P5,M6,a9,d11,m13
6add4(+9,--11,--13)	P1,M3,M4,P5,M6,a9,d11,d13
6add4(-9,11,13)	P1,M3,M4,P5,M6,m9,M11,M13
6add4(-9,11,+13)	P1,M3,M4,P5,M6,m9,M11,a13
6add4(-9,11,-13)	P1,M3,M4,P5,M6,m9,M11,m13
6add4(-9,11,--13)	P1,M3,M4,P5,M6,m9,M11,d13
6add4(-9,+11,13)	P1,M3,M4,P5,M6,m9,a11,M13
6add4(-9,+11,+13)	P1,M3,M4,P5,M6,m9,a11,a13
6add4(-9,+11,-13)	P1,M3,M4,P5,M6,m9,a11,m13
6add4(-9,+11,--13)	P1,M3,M4,P5,M6,m9,a11,d13
6add4(-9,-11,13)	P1,M3,M4,P5,M6,m9,m11,M13
6add4(-9,-11,+13)	P1,M3,M4,P5,M6,m9,m11,a13
6add4(-9,-11,-13)	P1,M3,M4,P5,M6,m9,m11,m13
6add4(-9,-11,--13)	P1,M3,M4,P5,M6,m9,m11,d13
6add4(-9,--11,13)	P1,M3,M4,P5,M6,m9,d11,M13
6add4(-9,--11,+13)	P1,M3,M4,P5,M6,m9,d11,a13
6add4(-9,--11,-13)	P1,M3,M4,P5,M6,m9,d11,m13
6add4(-9,--11,--13)	P1,M3,M4,P5,M6,m9,d11,d13
6add4(--9,11,13)	P1,M3,M4,P5,M6,d9,M11,M13
6add4(--9,11,+13)	P1,M3,M4,P5,M6,d9,M11,a13
6add4(--9,11,-13)	P1,M3,M4,P5,M6,d9,M11,m13
6add4(--9,11,--13)	P1,M3,M4,P5,M6,d9,M11,d13
6add4(--9,+11,13)	P1,M3,M4,P5,M6,d9,a11,M13
6add4(--9,+11,+13)	P1,M3,M4,P5,M6,d9,a11,a13
6add4(--9,+11,-13)	P1,M3,M4,P5,M6,d9,a11,m13
6add4(--9,+11,--13)	P1,M3,M4,P5,M6,d9,a11,d13
6add4(--9,-11,13)	P1,M3,M4,P5,M6,d9,m11,M13
6add4(--9,-11,+13)	P1,M3,M4,P5,M6,d9,m11,a13
6add4(--9,-11,-13)	P1,M3,M4,P5,M6,d9,m11,m13
6add4(--9,-11,--13)	P1,M3,M4,P5,M6,d9,m11,d13
6add4(--9,--11,13)	P1,M3,M4,P5,M6,d9,d11,M13
6add4(--9,--11,+13)	P1,M3,M4,P5,M6,d9,d11,a13
6add4(--9,--11,-13)	P1,M3,M4,P5,M6,d9,d11,m13
6add4(--9,--11,--13)	P1,M3,M4,P5,M6,d9,d11,d13
6add9(--9)	P1,M3,P5,M6,d9,M9
6add9(11)	P1,M3,P5,M6,M9,M11
6add9(+11)	P1,M3,P5,M6,M9,a11
6add9(-11)	P1,M3,P5,M6,M9,m11
6add9(--11)	P1,M3,P5,M6,M9,d11
6add9(13)	P1,M3,P5,M6,M9,M13
6add9(+13)	P1,M3,P5,M6,M9,a13
6add9(-13)	P1,M3,P5,M6,M9,m13
6add9(--13)	P1,M3,P5,M6,M9,d13
6add9(--9,11)	P1,M3,P5,M6,d9,M9,M11
6add9(--9,+11)	P1,M3,P5,M6,d9,M9,a11
6add9(--9,-11)	P1,M3,P5,M6,d9,M9,m11
6add9(--9,--11)	P1,M3,P5,M6,d9,M9,d11
6add9(--9,13)	P1,M3,P5,M6,d9,M9,M13
6add9(--9,+13)	P1,M3,P5,M6,d9,M9,a13
6add9(--9,-13)	P1,M3,P5,M6,d9,M9,m13
6add9(--9,--13)	P1,M3,P5,M6,d9,M9,d13
6add9(11,13)	P1,M3,P5,M6,M9,M11,M13
6add9(11,+13)	P1,M3,P5,M6,M9,M11,a13
6add9(11,-13)	P1,M3,P5,M6,M9,M11,m13
6add9(11,--13)	P1,M3,P5,M6,M9,M11,d13
6add9(+11,13)	P1,M3,P5,M6,M9,a11,M13
6add9(+11,+13)	P1,M3,P5,M6,M9,a11,a13
6add9(+11,-13)	P1,M3,P5,M6,M9,a11,m13
6add9(+11,--13)	P1,M3,P5,M6,M9,a11,d13
6add9(-11,13)	P1,M3,P5,M6,M9,m11,M13
6add9(-11,+13)	P1,M3,P5,M6,M9,m11,a13
6add9(-11,-13)	P1,M3,P5,M6,M9,m11,m13
6add9(-11,--13)	P1,M3,P5,M6,M9,m11,d13
6add9(--11,13)	P1,M3,P5,M6,M9,d11,M13
6add9(--11,+13)	P1,M3,P5,M6,M9,d11,a13
6add9(--11,-13)	P1,M3,P5,M6,M9,d11,m13
6add9(--11,--13)	P1,M3,P5,M6,M9,d11,d13
6add9(--9,11,13)	P1,M3,P5,M6,d9,M9,M11,M13
6add9(--9,11,+13)	P1,M3,P5,M6,d9,M9,M11,a13
6add9(--9,11,-13)	P1,M3,P5,M6,d9,M9,M11,m13
6add9(--9,11,--13)	P1,M3,P5,M6,d9,M9,M11,d13
6add9(--9,+11,13)	P1,M3,P5,M6,d9,M9,a11,M13
6add9(--9,+11,+13)	P1,M3,P5,M6,d9,M9,a11,a13
6add9(--9,+11,-13)	P1,M3,P5,M6,d9,M9,a11,m13
6add9(--9,+11,--13)	P1,M3,P5,M6,d9,M9,a11,d13
6add9(--9,-11,13)	P1,M3,P5,M6,d9,M9,m11,M13
6add9(--9,-11,+13)	P1,M3,P5,M6,d9,M9,m11,a13
6add9(--9,-11,-13)	P1,M3,P5,M6,d9,M9,m11,m13
6add9(--9,-11,--13)	P1,M3,P5,M6,d9,M9,m11,d13
6add9(--9,--11,13)	P1,M3,P5,M6,d9,M9,d11,M13
6add9(--9,--11,+13)	P1,M3,P5,M6,d9,M9,d11,a13
6add9(--9,--11,-13)	P1,M3,P5,M6,d9,M9,d11,m13
6add9(--9,--11,--13)	P1,M3,P5,M6,d9,M9,d11,d13
6add11(9)	P1,M3,P5,M6,M9,M11
6add11(+9)	P1,M3,P5,M6,a9,M11
6add11(-9)	P1,M3,P5,M6,m9,M11
6add11(--9)	P1,M3,P5,M6,d9,M11
6add11(--11)	P1,M3,P5,M6,M11,d11
6add11(13)	P1,M3,P5,M6,M11,M13
6add11(+13)	P1,M3,P5,M6,M11,a13
6add11(-13)	P1,M3,P5,M6,M11,m13
6add11(--13)	P1,M3,P5,M6,M11,d13
6add11(9,--11)	P1,M3,P5,M6,M9,M11,d11
6add11(9,13)	P1,M3,P5,M6,M9,M11,M13
6add11(9,+13)	P1,M3,P5,M6,M9,M11,a13
6add11(9,-13)	P1,M3,P5,M6,M9,M11,m13
6add11(9,--13)	P1,M3,P5,M6,M9,M11,d13
6add11(+9,--11)	P1,M3,P5,M6,a9,M11,d11
6add11(+9,13)	P1,M3,P5,M6,a9,M11,M13
6add11(+9,+13)	P1,M3,P5,M6,a9,M11,a13
6add11(+9,-13)	P1,M3,P5,M6,a9,M11,m13
6add11(+9,--13)	P1,M3,P5,M6,a9,M11,d13
6add11(-9,--11)	P1,M3,P5,M6,m9,M11,d11
6add11(-9,13)	P1,M3,P5,M6,m9,M11,M13
6add11(-9,+13)	P1,M3,P5,M6,m9,M11,a13
6add11(-9,-13)	P1,M3,P5,M6,m9,M11,m13
6add11(-9,--13)	P1,M3,P5,M6,m9,M11,d13
6add11(--9,--11)	P1,M3,P5,M6,d9,M11,d11
6add11(--9,13)	P1,M3,P5,M6,d9,M11,M13
6add11(--9,+13)	P1,M3,P5,M6,d9,M11,a13
6add11(--9,-13)	P1,M3,P5,M6,d9,M11,m13
6add11(--9,--13)	P1,M3,P5,M6,d9,M11,d13
6add11(--11,13)	P1,M3,P5,M6,M11,d11,M13
6add11(--11,+13)	P1,M3,P5,M6,M11,d11,a13
6add11(--11,-13)	P1,M3,P5,M6,M11,d11,m13
6add11(--11,--13)	P1,M3,P5,M6,M11,d11,d13
6add11(9,--11,13)	P1,M3,P5,M6,M9,M11,d11,M13
6add11(9,--11,+13)	P1,M3,P5,M6,M9,M11,d11,a13
6add11(9,--11,-13)	P1,M3,P5,M6,M9,M11,d11,m13
6add11(9,--11,--13)	P1,M3,P5,M6,M9,M11,d11,d13
6add11(+9,--11,13)	P1,M3,P5,M6,a9,M11,d11,M13
6add11(+9,--11,+13)	P1,M3,P5,M6,a9,M11,d11,a13
6add11(+9,--11,-13)	P1,M3,P5,M6,a9,M11,d11,m13
6add11(+9,--11,--13)	P1,M3,P5,M6,a9,M11,d11,d13
6add11(-9,--11,13)	P1,M3,P5,M6,m9,M11,d11,M13
6add11(-9,--11,+13)	P1,M3,P5,M6,m9,M11,d11,a13
6add11(-9,--11,-13)	P1,M3,P5,M6,m9,M11,d11,m13
6add11(-9,--11,--13)	P1,M3,P5,M6,m9,M11,d11,d13
6add11(--9,--11,13)	P1,M3,P5,M6,d9,M11,d11,M13
6add11(--9,--11,+13)	P1,M3,P5,M6,d9,M11,d11,a13
6add11(--9,--11,-13)	P1,M3,P5,M6,d9,M11,d11,m13
6add11(--9,--11,--13)	P1,M3,P5,M6,d9,M11,d11,d13
6add13(9)	P1,M3,P5,M6,M9,M13
6add13(+9)	P1,M3,P5,M6,a9,M13
6add13(-9)	P1,M3,P5,M6,m9,M13
6add13(--9)	P1,M3,P5,M6,d9,M13
6add13(11)	P1,M3,P5,M6,M11,M13
6add13(+11)	P1,M3,P5,M6,a11,M13
6add13(-11)	P1,M3,P5,M6,m11,M13
6add13(--11)	P1,M3,P5,M6,d11,M13
6add13(--13)	P1,M3,P5,M6,M13,d13
6add13(9,11)	P1,M3,P5,M6,M9,M11,M13
6add13(9,+11)	P1,M3,P5,M6,M9,a11,M13
6add13(9,-11)	P1,M3,P5,M6,M9,m11,M13
6add13(9,--11)	P1,M3,P5,M6,M9,d11,M13
6add13(9,--13)	P1,M3,P5,M6,M9,M13,d13
6add13(+9,11)	P1,M3,P5,M6,a9,M11,M13
6add13(+9,+11)	P1,M3,P5,M6,a9,a11,M13
6add13(+9,-11)	P1,M3,P5,M6,a9,m11,M13
6add13(+9,--11)	P1,M3,P5,M6,a9,d11,M13
6add13(+9,--13)	P1,M3,P5,M6,a9,M13,d13
6add13(-9,11)	P1,M3,P5,M6,m9,M11,M13
6add13(-9,+11)	P1,M3,P5,M6,m9,a11,M13
6add13(-9,-11)	P1,M3,P5,M6,m9,m11,M13
6add13(-9,--11)	P1,M3,P5,M6,m9,d11,M13
6add13(-9,--13)	P1,M3,P5,M6,m9,M13,d13
6add13(--9,11)	P1,M3,P5,M6,d9,M11,M13
6add13(--9,+11)	P1,M3,P5,M6,d9,a11,M13
6add13(--9,-11)	P1,M3,P5,M6,d9,m11,M13
6add13(--9,--11)	P1,M3,P5,M6,d9,d11,M13
6add13(--9,--13)	P1,M3,P5,M6,d9,M13,d13
6add13(11,--13)	P1,M3,P5,M6,M11,M13,d13
6add13(+11,--13)	P1,M3,P5,M6,a11,M13,d13
6add13(-11,--13)	P1,M3,P5,M6,m11,M13,d13
6add13(--11,--13)	P1,M3,P5,M6,d11,M13,d13
6add13(9,11,--13)	P1,M3,P5,M6,M9,M11,M13,d13
6add13(9,+11,--13)	P1,M3,P5,M6,M9,a11,M13,d13
6add13(9,-11,--13)	P1,M3,P5,M6,M9,m11,M13,d13
6add13(9,--11,--13)	P1,M3,P5,M6,M9,d11,M13,d13
6add13(+9,11,--13)	P1,M3,P5,M6,a9,M11,M13,d13
6add13(+9,+11,--13)	P1,M3,P5,M6,a9,a11,M13,d13
6add13(+9,-11,--13)	P1,M3,P5,M6,a9,m11,M13,d13
6add13(+9,--11,--13)	P1,M3,P5,M6,a9,d11,M13,d13
6add13(-9,11,--13)	P1,M3,P5,M6,m9,M11,M13,d13
6add13(-9,+11,--13)	P1,M3,P5,M6,m9,a11,M13,d13
6add13(-9,-11,--13)	P1,M3,P5,M6,m9,m11,M13,d13
6add13(-9,--11,--13)	P1,M3,P5,M6,m9,d11,M13,d13
6add13(--9,11,--13)	P1,M3,P5,M6,d9,M11,M13,d13
6add13(--9,+11,--13)	P1,M3,P5,M6,d9,a11,M13,d13
6add13(--9,-11,--13)	P1,M3,P5,M6,d9,m11,M13,d13
6add13(--9,--11,--13)	P1,M3,P5,M6,d9,d11,M13,d13
6sus2(9)	P1,M2,P5,M6,M9
6sus2(+9)	P1,M2,P5,M6,a9
6sus2(-9)	P1,M2,P5,M6,m9
6sus2(--9)	P1,M2,P5,M6,d9
6sus2(11)	P1,M2,P5,M6,M11
6sus2(+11)	P1,M2,P5,M6,a11
6sus2(-11)	P1,M2,P5,M6,m11
6sus2(--11)	P1,M2,P5,M6,d11
6sus2(13)	P1,M2,P5,M6,M13
6sus2(+13)	P1,M2,P5,M6,a13
6sus2(-13)	P1,M2,P5,M6,m13
6sus2(--13)	P1,M2,P5,M6,d13
6sus2(9,11)	P1,M2,P5,M6,M9,M11
6sus2(9,+11)	P1,M2,P5,M6,M9,a11
6sus2(9,-11)	P1,M2,P5,M6,M9,m11
6sus2(9,--11)	P1,M2,P5,M6,M9,d11
6sus2(9,13)	P1,M2,P5,M6,M9,M13
6sus2(9,+13)	P1,M2,P5,M6,M9,a13
6sus2(9,-13)	P1,M2,P5,M6,M9,m13
6sus2(9,--13)	P1,M2,P5,M6,M9,d13
6sus2(+9,11)	P1,M2,P5,M6,a9,M11
6sus2(+9,+11)	P1,M2,P5,M6,a9,a11
6sus2(+9,-11)	P1,M2,P5,M6,a9,m11
6sus2(+9,--11)	P1,M2,P5,M6,a9,d11
6sus2(+9,13)	P1,M2,P5,M6,a9,M13
6sus2(+9,+13)	P1,M2,P5,M6,a9,a13
6sus2(+9,-13)	P1,M2,P5,M6,a9,m13
6sus2(+9,--13)	P1,M2,P5,M6,a9,d13
6sus2(-9,11)	P1,M2,P5,M6,m9,M11
